Movie Name,Storyline
Jorgovani,"Comic satire of Balkan film industry that shines light on questionable relationships, unstable personalities and the thin line between fulfillment and sucess."
Loving Bali,"After the death of her Eurasian grandmother, Jenny convinces her mother and sister to come along to Bali to unravel their family background so they can find happiness in their family and love life."
Surrogate,"Jane Martin is recruited by Doctor Faye's clinical for healthy sex. But Jane does not respect the rules with her patients and becomes more closer with them. Ignoring the warnings of Dr. Faye, Jane puts her patients and herself in danger."
The One That Got Away,"During Blake's bachelor weekend, he encounters London, unaware she's his past lover's twin, set on revenge for a betrayal that intertwines their fates."
The Quiet Son,"Pierre, a widowed father, struggles as one of his sons becomes drawn to an ideology he doesn't comprehend. His son's change tests Pierre's ability to maintain their bond, set against the backdrop of post-May '68 France."
Férias Trocadas,No storyline available
Day Labor,"A Latino American veteran who seeks work as a day laborer in order to keep his family afloat. A regular day turns into a deadly game of survival when he is mistakenly dropped off at a private ranch in El Paso, Texas to be hunted for sport."
The Extraordinary Miss Flower,"Uncovers Geraldine Flower's collection of love letters, suggesting a potential double life as a spy."
Marcello Mio,"Chiara is an actress and daughter of Marcello Mastroianni and Catherine Deneuve. One summer, she decides to live like her father. She dresses, speaks, and breathes like him with such conviction that others start calling her ""Marcello""."
Mi prima la sexóloga 2 (de la fantasía a la realidad),"Malena and Manuel have been dating for six months, so she decides it's time to move to the next level and create a Cousins Club where members will learn about sex."
Ghost Game,Follows a thrill-seeking couple who set their target in an haunted house and endure various incidents as they witness a family going mad.
Goyo,"A young autistic museum guide lives by a strict routine until he falls in love with his coworker and must confront a whirlwind of new, intense emotions."
Body Language,"A woman who excels at reading body language realizes that something is deeply wrong during a quiet night at home, turning a peaceful night into a terrifying fight for her own survival."
Viktor,Deeply personal audiovisual experience capturing a Deaf person's navigation through the Russian invasion of Ukraine and its ensuing chaos.
Passport to Love,"A successful international travel writer, Nicole, has scored a dream seaside rental to research her newest vacation article only to discover it has accidentally been booked also by Kade, a marketing rep for a competing travel magazine."
Men of War,"A former U.S. Green Beret is recruited to remove Venezuela's president and after the mission fails, he is pursued by the government he faithfully served."
Suspended Time,"During COVID-19 lockdown in 2020, two married couples quarantine together in a country house, leading to rising tensions and revelations about their relationships."
To the Rescue,"After developing a human-enhancing serum, Dr. Liu Qian is kidnapped. Her fiancé Zhang Xuan joins forces with Wei Lan to confront an international crime syndicate and fight for survival."
Mobile Suit Gundam SEED Freedom,"Lacus Clyne becomes president of a peace monitoring organization, but things are not quite what they seem."
Umjolo: The Gone Girl,Follows four women whose love lives intersect at a Valentine's Day wedding none of them will soon forget.
Darling,"A tourist office employee, Raghav, inadvertently weds Anandhi while saving for his dream Paris honeymoon, resulting in a series of challenges he must confront."
Three,"TIffany and Jayson live a simple life until Jayson asks for a sexy 30th B-Day gift. He wants a 3-some with Tiffany and her lesbian BFF, Ashley. What seems like a dream for Jayson, leads to jealousy, betrayal and a trail of broken hearts"
Crocodile Tears,An overbearing mother who lives with her son in a secluded crocodile farm spirals out of control when her son sees the outside world and falls for a girl for the first time.
Bloody Mary,"Two witches' Blood Moon ritual requires a male sacrifice, but tonight's chosen one disrupts their plans. As they face unexpected dangers and personal demons, their bond proves more powerful than magic."
Royal Runaways,"From the French nation of Caminelle to a winery in Maine, a defiant prince and orphaned girl take parallel paths to find each other but must first unravel a plot filled with twists."
The Yin Yang Master Zero,"During the Heian period, Seimei Abe trains in magic but lacks interest, until a collaboration with Hiromasa Minamoto arises to solve a strange phenomenon."
It All Ends Here,"A lawyer gets his affluent client acquitted of double homicide but drunkenly confesses the truth, becoming an outcast. He reunites with an old flame to seek vengeance while everyone's innocence becomes questionable."
Inside the Mind of a Dog,Embark on a delightful journey into the world of dogs in this documentary that reveals scientific and emotional insights about our lovable BFFs.
Sagrada luna,A secret cult is run by Supremo Papa who is surrounded by his Virgin Sisters.
Once Upon a Time in Hollyweird,"When Hollywood icon Michael Madsen goes missing presumed dead, they call Rick Blaine (Tom Sizemore) to investigate. A Tarantino-style murder mystery that is, Once Upon a Time in Hollyweird."
Bonnie and Clyde: The Musical,Two small-town kids from the middle of nowhere became the biggest folk heroes in all America. They craved adventure-and each other.
Das Meer ist der Himmel,"A real-estate henchman has to go back to Albania after 20 years, to scatter his dead grandfather's ashes in the sea, facing his roots, his past and his family, that he never wanted to see again."
Lady Scorpions,A drug enforcement agent teams up with her daughter to save her abducted granddaughter from the powerful head of a criminal organization.
Zhi Bao,No storyline available
All Is Fine in '89,"With the backdrop of the Berlin Wall being torn down, the senior students - and even teachers - at Romano High are prepping for the last field party of the decade - and for some, the last party of their lives."
The Grey Men,"Hong Kong police officer Ah Shan goes undercover in prison to gain the trust of criminal Tian, in order to seek evidence against his gang. After their release from jail, Shan helps Tian rise within the gang and become the new boss. However, just as Shan successfully cracks down on the gang, he uncovers a shocking secret about Tian."
Pretty Hurts,"Jasmine, considered a perfect beauty, battles inner demons from her abusive past. Linking beauty with pain, she struggles with trauma and self-worth, fighting to break free from a cycle of abuse."
South of Hope Street,"In 2038 earth enters a mysterious universe. People hide behind a gigantic wall and engage in wars. In this dystopian wonderland, Denise walks on thin ice spurred on by Tom, a caretaker, who promises that a renaissance is on its way."
Made in England: The Films of Powell and Pressburger,"Features rare archival material from the personal collections of Powell, Pressburger and Scorsese."
Toofan,Follows a born killer who rises to power and becomes the biggest toofan
The Bitter Taste,"A former pentathlete is captured by an undead countess and her cursed followers. To survive a deadly hunt, she must revive her athletic skills and form an uneasy alliance with a charming fisherman and a grumpy cop."
Inanimate Insanity II: The Movie,"MePhone's reality show competition finale with Suitcase and Knife contestants is jeopardized when his creator's past reemerges, endangering participants and threatening an unresolved ending."
Rise of OnlyFans,"The Rise of OnlyFans is an illuminating documentary that provides a comprehensive exploration of the unprecedented growth and cultural impact of the groundbreaking platform, OnlyFans."
Amish Affair,"A charismatic Amish leader, hires Hannah to help with his ailing wife. A spark ignites their secret relationship, but when Aaron's wife dies under suspicious circumstances, she is framed for murder and fights to prove her innocence."
Jenni,"Biopic based on the iconic Mexican-American singer-songwriter, actor, producer and women's rights activist, Jenni Rivera."
Elli and Her Monster Team,All Elli wanted was a family to love. But finding one turns out to be a ghostly affair.
7 Keys,"Daniel has kept the keys to the places he's lived in. Lena wants to use them - on the ultimate tour of London, a weekend of getting to know each other intimately in other people's homes. This risky fantasy soon becomes a deadly threat."
Rautu Ka Raaz,"After the mysterious death of a warden of Sevadham school, it is up to inspector Negi who suffers from PTSD to solve the high-profile investigation which leads him to disturbing facts."
Schneewittchen,"Snow White declines the Prince's offer to witness the Evil Queen and the Hunter's intimate encounter, quipping she'd prefer to hear about it instead."
Balestra,"A competitive fencer agrees to test an experimental device that lets her train within lucid dreams in which she meets a mysterious stranger who will upend her marriage, her psyche, and her path to Olympic gold."
In Fidelity,"Lyle and Holly, a happily married New York couple decide to test the romantic boundaries of their monogamous relationship. Soon, a hypothetical love triangle with their rock star neighbor becomes a reality they must now navigate."
Lolo and the Kid,A hustler and the child he took in routinely con the wealthy - but a life-changing opportunity could end their inseparable bond.
Steal Her Breath,"Virtuoso thief Laura faces her ultimate challenge: outmaneuvering relentless policewoman Maxine in a dangerous, passionate cat-and-mouse game, while a sadistic killer marks them for death."
Silip,"Paresan-worker Joel notices Rose, the girl always receiving and sleeping with different guys at the house across the food stall. He soon starts to fantasize about Rose and does all he can to get a taste of her."
American Warrior,A man with a troubled past decides to turn his life around after a heroic act by training for a mixed martial arts tournament.
The Epic of Gilgamesh,"Gilgamesh, king of Uruk, abuses power prompting gods to create Enkidu to subdue him. They befriend, kill Humbaba, fight Bull of Heaven. Enkidu dies, Gilgamesh seeks Utnapishim for immortality."
The Last Stand of Ellen Cole,Follow a nefarious land developer who gets more than he bargained for when he tries to intimidate an 80-year-old widow into abandoning her Montana ranch.
Guardian,A guardian ghost saving a girl from all the dangers surrounding her.
Navra Maza Navsacha 2,"Shraddha wants her fiancé to fulfill an unusual vow before marriage. Her parents, Bhakti and Vacky, embark on a pilgrimage to seek divine blessings to make it happen."
Natural Phenomena,"Vilma, a young nurse, dreams of a better place for her baby and disabled husband Ivan. Her nursing and shooting skills can't change her harsh reality-until a natural phenomenon transports her to where her dream may come true."
Desert of Namibia,"21-year-old Satsuki swaps boyfriends frequently, unconcerned with career or societal norms. Her unpredictable behavior leads to a misdiagnosis of bipolar disorder, as she navigates a rigid, patriarchal society."
Last Appeal,"Trying to get his dying father out of prison with a compassionate release, Max Dagan needs the help of the daughter of the man his father killed."
Over the Red River,"Follows a tenacious young widow who braves the perilous desert to free her kidnapped sister and wreak vengeance on the outlaws who murdered her husband, while also crossing paths with an ex-member of the same gang that ruined her life."
Los destellos,"Isabel's life takes an unexpected turn when her daughter Madalen asks her to take care of her father, Ramón, who is sick. After fifteen years without seeing her ex-husband Isabel will try to fulfill her mission with diligence and coldness."
Space Command Redemption,"Space Command hopeful vision of the future, a space-going saga featuring Walking Dead's Ethan McDowell, Star Trek Discovery's Doug Jones, Star Trek Voyager's Robert Picardo, and Babylon 5's Mira Furlan, Bruce Boxleitner and Bill Mumy."
Till Death Do Us Part,A wedding planner must keep her best friend and her groom safe from a psychotic stranger who secretly threatens to murder the entire party.
Live or Dead: The García File,"Amidst the uncertainty caused by the alleged suicide of former president Alan García, journalist Carmen Ríos initiates an intense search aiming to unravel the mystery surrounding the case."
Nahir,"The story of a crime that shocked an entire country: Nahir Galarza, a young woman who killed her boyfriend under unknown circumstances."
Water Brother,"'Water Brother' is a feature documentary that follows the life of Sid Abbruzzi, an East Coast legend and culture icon."
Rabia,"Motivated by the promise of a new life, a 19-year-old French woman leaves for Syria to join Daesh. Arriving in Raqqa, she stays in a home for future fighter wives and soon finds herself imprisoned by the charismatic warden."
13th Summer,"During their annual vacation at an isolated beach, Ben and Vee unexpectedly encounter a mysterious backpacker who draws them into a twisted web of lies, deceit and ultimately, revenge."
Kizumonogatari: Koyomi Vamp,"After helping a vampire, Reki becomes one of them. To become human again, she must recover the vampire's limbs captured by hunters."
Ghost Cat Anzu,"Friendship shared between Karin, a strong-minded girl sent to live with her monk granddad in the Japanese countryside, and Anzu, the even-more unpredictable phantom feline who acts as her guardian."
Soda,"In 1956, a seamstress arrives in a Holocaust survivor community. Rumors surface about her past as Capo. Shalom, resistance fighter, torn between attraction and duty to expose her history. Community tensions rise over her true identity."
Savages,"In Borneo, at the edge of the tropical forest, Kéria is given a baby orangutan. With the forest under greater threat than ever, Kéria, Selaï and the little primate, Oshi, will have to face many obstacles."
3 Obás de Xangô,"Three legendary artists - Jorge Amado, Dorival Caymmi, and Carybé - bonded over their shared love of Bahia, capturing its soul through literature, music, and art. Their works shaped the region's cultural identity and continue to inspire."
Happy Dragons,"A retired secret agent happens across the mahjong collection of his late comrade-in-arms. He invites his three childhood friends to play, but when they start the game, they are sent on a real-life quest to find the ""Golden Relic"". The quest turns back time, making everyone young again. Determined to right some wrongs from the past during this journey, they deepen their friendship and learn new things along the way."
Female 4,"In a peaceful battery goli, where everyone took an oath not to fight amongst themselves, chaos ensues as another Female hops into the scene."
Detective Conan: The Million-Dollar Pentagram,"The ""truth"" hidden in the sword cuts through the dark night and leads one under the moon. Love and incidents unfold in turbulent ways. The treasure battle mystery that will divide the world has begun."
Kakuda,"This horror-comedy film follows a town trapped in time by a curse and 3 of its inhabitants face a ghost that makes them question superstition, tradition and love."
Demise,"A scorned wife plots a vengeful, devious path to motherhood and redemption after her husband abandons her for his pregnant mistress."
Swede Caroline,"In this British Mockumentary, the competitive giant vegetable growing world is rocked by scandal when up-and-coming prospect Caroline has her prized marrow plants stolen."
Favoriten,"Explores teaching and learning in Vienna where over 60% of primary school students speak a first language other than German, yet there is a severe lack of teachers and supervisors."
Tom Petty: Heartbreakers Beach Party,"Lost 16mm reels documenting Tom Petty and the Heartbreakers' 1982-1983 'Long After Dark' album cycle, including footage originally aired on MTV in 1983."
Dance with the Devil,An easy heist quickly goes wrong for three stuck-up kids who think they have found the perfect target in an old man from the neighborhood.
Ski,"Skier and filmmaker Nikolai Schirmer discovers that a childhood friend trains to climb and ski 27 mountains in one trip without telling anyone, while it lingers: why did he lose his mountain partner and best friendship so many years ago?"
They Call Her Death,"Molly Pray is on a bloody crusade against the criminal forces who have wronged her. Her mission strikes at the myth of manifest destiny, but for Molly, with the embodied specter of Death on her side, this isn't political. This is personal."
O Diabo do Entrudo,A documentary about the oldest Shrovetide tradition in Portugal and their typical masks.
La Piel del Agua,"Camila (15) has to go back to live with her father. She has not spoken to him since her mom fell into a coma after a car accident. She then meets Diego (28) in whom she tries to find emotional refuge, but everything about him is chaotic."
Purna Bahadur Ko Sarangi,"A struggling single father battles poverty, using his musical talents to support and inspire his son. Together, they persevere through hardship, fueled by the father's dream of a better life."
Head South,"In 1979, Angus, with his father's support, discovers the underground post-punk music scene in Christchurch, New Zealand, overcoming self-doubt, derision, and a family tragedy to perform."
Drained,"Unemployed artist Thomas is captivated by alluring Rhea, who conceals her vampire nature. Their intense affair takes a sinister turn as Thomas becomes gravely ill."
Vena,"A young couple struggles with an unplanned pregnancy, turning to crystal meth to cope with their troubled lives until a midwife intervenes, offering guidance and support to help them face their challenges and find a path forward."
Triumph,"After the Fall of Communism in the early 1990s, a classified task force of high-rank Bulgarian Army officers led by a psychic channeler starts digging a hole in search of a mysterious artifact which will bring about the ultimate triumph."
Dance,"After early release from prison, an ex-con finds work at a dance studio where he finds a second chance at redemption."
Enough for Now,Siblings bake coconut cubes dessert to lure eldest brother home. Time appears frozen. Ordinary summer days become extraordinary. Joyous spirit alleviates darkness. Brothers reunite through baking shared favorite treat.
Jim's Story,A family living in the Jura mountains is torn apart following the return of the son's biological father.
Gaami,"Shankar, an amnesiac Aghori who suffers from the fear of touch, goes on a dangerous Himalayan trail in search of a mythical cure for his condition. What happens when his past uncovers the way for him?"
Big City Greens the Movie: Spacecation,"After ruining his family's vacation before it can even begin, Cricket attempts to right his wrongs by volunteering his family for an experimental farming mission - in space."
Erdal and Ece,The story of a married couple who experience funny conflicts in their relationship.
Hidden Flora,"Roxii, a queer hopeless romantic, just wants to be loved and treated the way boys do girls. A string of boys and men inform Roxii's view of sex and identity in late aughts Las Cruces, New Mexico."
RRR: Behind & Beyond,"Delves into the making of S.S. Rajamouli's epic RRR. Through behind-the-scenes footage and interviews, it unveils the vision, challenges, and dedication behind this cinematic marvel."
Jamie Foxx: What Had Happened Was...,"A stand-up special with Jamie Foxx performing before an Atlanta crowd. Containing songs and anecdotes, the main topic is his time away from the limelight while undergoing a medical emergency in 2023."
Adios Amigo,"At a bustling bus stand, two men from contrasting social strata cross paths. One basks in affluence, the other grapples with life's challenges. Together, they embark on a journey laced with humor and unexpected adventures."
Mud Key,"A lefty lesbian couple and their lapdog accidentally beach their boat on a tiny remote Florida Key, crashing a right wing couple's campsite, and all must wait for the tide to come back in for them to get out."
Camp Crasher,"Patri, an overbearing mother, struggles to bond with her teenage son who wants to live with his father. To keep him home, she offers to take him and friends on a camping trip, vying for his affection during the road trip."
First Nights at Freddy's,"Before the events of the original FNaF Musical, several stories come together to uncover Fazbear Entertainment's web of lies."
Love Syndrome: The Beginning,"Despite Itt and Day's destructive relationship, they have gradually grown affection for one another. However, to see if Day's feelings are true, Itt drastically runs away, driving Day wild with rage. How will this twisted tale end?"
Satyabhama,"ACP Satyabhama investigates a missing person case, uncovering dark secrets across shadowy towns. Her past haunts her as she races to find the truth and redemption amidst the high-stakes investigation."
Uranus Attacks,"The small town of Uranus has been invaded. Two best friend and fudge packing employees at the Uranus Fudge Factory now must save Uranus and stop an evil hive-mind Alien slug named Zamik before he ""ass-similates"" all of Uranus."
Jazzy,"Jazzy navigates the space between childhood and young adulthood. When her best friend moves away, Jazzy experiences both a sense of loss and her first inkling of independence."
The Jack in the Box Rises,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon."
Drowning Dry,"To celebrate Lukas' victory at the martial arts tournament and Tomas' birthday party, their wives Juste and Ernesta organize a weekend at the summer house with a families. It was supposed to be a quiet weekend at countryside."
The Waterboyz,"In the streets of ATL, two young men cross paths. One trying to make a legit living, one trying to create mayhem and rule the streets."
Who by Fire,"Seventeen-year-old Jeff stays at film director Blake Cadieux's wilderness lodge after being invited by friend Max's family. When strange events occur, Jeff suspects something is amiss with the director and his retreat."
Wrong Numbers,"After a disastrous blind date, Emma strikes up conversation with Jack. They stumble into a one-night stand that turns out complicated and destructive."
Karina,"In 2014, a 4-year-old girl named Karina disappeared in a remote village in Yakutia. She and her dog wandered for 12 days in harsh conditions without food or water. Despite extensive search efforts, hope began to fade. But miracle happened."
Angelo dans la forêt mystérieuse,"It follows Angelo, a ten year old who dreams of becoming an explorer and a zoologist. When he goes to visit his granny, his parents leave him behind at a rest stop, and he decides to cut through the forest in search of them."
Devastated,"In parallel narratives, an Indian policeman opens up about his job executing Muslim men, while Lord Krishna and Prince Arjuna perform a dialogue from the Bhagavad Gita, exploring the moral obligations of warriors."
Bandidos - Ein Leben zwischen Freiheit und Gesetz,"The first documentary about the BANDIDOS MC with real interviews with all the leaders of this MC. BANDIDOS are with the HELLS ANGELS the biggest motorcycle club in the world. The docu follows the club for over 4 years around and during that time was a trial against them for building of a criminal empire, weapon dealings and murder."
Little Hearts,"The story follows father Baby and son Sibi navigating three intertwined romantic storylines set against Kattappana's scenic backdrop, blending humor with relatable love tales for a multigenerational audience."
Amusement Park,"Anonymous figures walk the streets in search of encounters, until one of them breaks through the barred gate of the city park and begins to explore its paths. This forbidden territory is then sown by the imperative of desire."
Tears of Cem Karaca,"It tells the life story of Cem Karaca, the legendary name of Anatolian rock music, who has created many works."
Cille 2069,No storyline available
Brewster's Millions: Christmas,"Follows Morgan Brewster's quest to inherit her uncle's fortune before Christmas. Amid holiday chaos, she discovers love, faith, and family's importance through giving."
The Antisocial Network: Memes to Mayhem,"A group of lonely teenagers formed an online community and bonded over their isolation, but their collective beliefs warped reality."
The Solitary Gourmet,"Goro Inogashira travels all over Japan for work. Upon receiving a message from an old friend's daughter, Goro arrives in Paris and learns of the elderly man's wish to taste a particular soup he had in his childhood before he dies."
Good Men,"Filmmaker Bobby Roth gathered 50 friends - including Peter Coyote, Henry Winkler, and Michelle Satter - to take stock of their lives, loves, mistakes, and regrets in this wonderfully candid examination of the journeys we've taken."
Youth (Hard Times),"Wang Bing's sequel documentary chronicles the struggles of migrant workers at clothing workshops, capturing their daily struggles to survive on low wages and exploring the possibility of collective empowerment as China's economy booms."
Murder and Cocktails,"When a neighbor on their floor is murdered, married couple Nick and Lana host cocktail parties in their apartment in an attempt to discover which of their neighbors pulled the trigger."
Shakhahaari,Centers on the unexpected intertwining of innocent lives leading to a murder mystery in a vegetarian restaurant run by Chef Subbanna.
Dasama,"Follows a close circle of friends in a tiny village school. It seamlessly flashes between their past and present, highlighting the camaraderie and enthusiasm of their adolescence."
The Wingwalker,"A young widower is deported as his daughter is scheduled for a heart transplant, this will lead him to orchestrate the boldest border crossing plan in history."
Ghost Planet,A group of astronauts venture to a mysterious planet to claim the find of the century.
Trust,Based on the book by Domenico Starnone
Grrr...,"A heartbroken and tipsy Rejimon invades a lion's den at the zoo. Forced to act, guard Haridas dives in to rescue him, triggering a hilarious series of blunders."
The New Purge,A woman lives in her own flesh a macabre purge where people are killed indiscriminately for fun.
My Fathers' Daughter,"Set in Norway's northern reaches, the story centers on Elvira, a Sami teen. Convinced her mother conceived at a Danish clinic, her life shifts when her true father emerges, forever altering her world."
The Truth vs. Alex Jones,"Centers on families of the victims of the 2012 Sandy Hook shooting. They take Alex Jones, a conspiracy theorist, to court for spreading lies about the event being a hoax."
Ape X Mecha Ape: New World Order,"A group of world leaders awakens a creature beneath the ocean floor, and mankind's only hope rests on an alliance between the giant ape and his mechanical arch-nemesis."
Federer: Twelve Final Days,Follows the last 12 days of the career of a tennis player considered the best ever as he plays his final tournament.
Fight Like a Girl,"A young Congolese woman forced to work in an illegal mineral mine, escapes her captors and finds a new life for herself as a professional boxer. Based on true events."
Saindhav,"The protagonist, with a past, has to cross paths with the underworld if he has to save his daughter from a health crisis and time is running out."
Now or Never!,"On March 15, 1848, a young firebrand poet, Sándor Petöfi ignites the Hungarian Revolution with his passionate 'National Song', prompting the Austrians to dispatch a ruthless secret agent to assassinate him and suppress the uprising."
Into the Mortal World,"Adaptation of the classic fairy tale, the descendants of Niu Lang and Zhi Nv continue to write a new adventure."
Goldilocks and the Two Bears,"Follows Ingrid, Ian and Ivy, three unique strangers who find each other in an uninhabited condominium. They discover they actually have a lot in common, and start wondering whether they might be each other's salvation."
Becoming Hitchcock: The Legacy of Blackmail,"Exploring Hitchcock's iconic style through his early film ""Blackmail,"" an insight into the director's emerging techniques and themes during the transition to talkies, showcasing elements that would define his later masterpieces."
Was Once a Hero,"Ginny and Little Bit, after their father's murder, flee outlaws across desert. They ally with ex-lawman Malcolm Hunter, hoping to reach Black Ridge for safety amidst peril and Malcolm's fading memory."
Aranmanai 4,"After his sister's suspicious death, a man decides to discover the hidden truth, setting off a chasm for chaos and terror."
Cesium Fallout,"In a Hong Kong recycling plant, a massive fire exposes a radiation crisis caused by illegal garbage smuggling. Government advisor, executive, and firefighters embark on a high-stakes mission to mitigate the disaster."
Sunny,Sunny is the story of a middle-aged woman who dreams to fulfill her dying wish to reunite with high school friends.
White Rose,"Divya's daughter is kidnapped, and she teams up with the police to confront the psychopathic abductor. ACP Vetri, connected to the case, grapples with a moral crisis. Can Divya rescue her child and will Vetri find redemption?"
Waspzilla,"Get ready for a buzz-worthy adventure in ""Waspzilla"". Deputy Callahan, a tough-as-nails law enforcement officer, finds herself teamed up with an eager rookie for an outlandish mission."
The M Factor: Shredding the Silence on Menopause,"Menopause is a silent epidemic affecting the health and well-being of millions of women. This film confronts this neglected crisis, challenges societal and medical shortcomings and advocates for a revolutionary approach to women's health."
The Ark and the Darkness,"Noah's Ark withstands a global flood, corroborated by scientific evidence across disciplines. A team exposes the truth behind this ancient tale found in cultures worldwide, confirming the Biblical account."
La pie voleuse,"An aging caregiver steals small amounts from her elderly clients despite caring for them devotedly and being loved in return, as she struggles financially but won't accept her situation."
Sensei's Pious Lie,"Turn a blind eye or lie to avoid getting hurt. If you don't do that, you won't be able to live..."
Lethally Blonde,Michelle's past secrets resurface with lethal consequences when her daughter joins the same sorority she once belonged to in college.
Twisted Hearts,"Three couples at a relationship retreat navigate intimacy issues, racial biases, and infidelity while an unexpected twist forces major decisions about self-worth and love."
Dedalus,"Six content creators join Dedalus, a social contest promising fame and fortune. In an isolated arena, they face increasingly dangerous games, revealing a hidden agenda of revenge behind the competition."
Eat the Night,"Young drug dealer Pablo and his sister Appoline bond over an online game called Darknoon. Pablo falls for Night, neglecting his sister. While Appoline finishes the game, Pablo and Night become embroiled in a dangerous gang conflict."
Visfot,A Mumbai slum family's cramped life contrasts a rich high-rise family's luxury until their lives fatefully intersect one day.
Hobal,The Saudi family is following strict instructions from their grandfather to remain confined in the desert during the early 1990s. A series of events shakes the family's foundation and they find them in a struggle between life and death.
Wingless,Inspired by the true life story of Bulgarian paralympic 'Long jump' world champion Mihail Hristov. The story follows him from the moment he loses his arms to making the life-changing decision to become a professional athlete.
Gelin Takimi,"A group of female friends take a holiday bachelorette trip, where they let their hair down, flirting with strangers, and indulge in a party lifestyle."
Polvo serán,"After receiving the diagnosis of an incurable brain tumor, Claudia decides to undertake her last trip to Switzerland. There she can decide how and when to end her life thanks to the help of an assisted suicide association."
Emma and Eddie: A Working Couple,Emma and Eddie live two lives: one on social media and one in real life. The webcam couple is out to save their marriage by starting their own adult web-studio in Eastern Europe.
Os Farofeiros 2,"Their company treats co-workers Alexandre, Lima, Rocha, Diguinho, and their families to a trip to Bahia, but this dream trip could be ruined by unseen events and problems."
Planetquake,"A tectonic shift deep below the Mariana Trench causes a series of ever escalating earthquakes. If a team of leading seismologists fails to stop the disaster, the events will break apart the Earth, resulting in billions of casualties."
2 Fingers Honey 2,"The sequel to the movie ""2 Fingers Honey"" by Ermal Mamaqi. The adventures of the newly married couple continue. This time, they leave for a family vacation to Turkey but mix up their plane tickets and end up at the wrong airport."
Dikkie Dik 2: Een nieuwe vriend voor Dikkie Dik,"On a winter's day, Dikkie Dik and Poes Muis discover something new: snow! But there is also a new neighbour; a big, noisy dog called Blaf. Brr, the cats don't like that!"
Malês,"A couple about to get married is kidnapped from their homeland in Africa and brought to Brazil as slaves. Separated by fate, they both struggle to survive the horrors of slavery and become involved in the largest Brazilian slave uprising."
Cafe 404,"Jimmy fights to keep the forgotten Café 404 alive. A mysterious bag presents a chance for salvation, but with a steep cost - greed, criminals, and the police quickly spiral the situation out of control, threatening everything around them."
King Baby,"A warped modern fairytale plays out in a crumbling 'kingdom' populated only by a King and a Servant. The arrival of a mannequin Queen throws their carefully constructed world into isolation, madness, and murderous megalomania."
Ramón y Ramón,"After receiving the ashes of his father, with whom he had a distant relationship, Ramón meets Mateo during confinement. Despite their differences, a deep connection emerges. Mateo decides to accompany Ramón on a trip to scatter the ashes."
All the Lost Ones,"In a dystopian and climate-ravaged future America torn apart by civil war, a group hiding in a remote cabin become the target of a ruthless rebel militia leader and his platoon, viciously hunted in a fight for survival."
Kix,"Two filmmakers document over a decade Sanyi, a Budapest boy's turbulent childhood in dysfunctional home, charting his path from mischievous kid to troubled adolescent amid poverty and parental neglect."
A Hip Hop Story,A pioneer of the culture joins forces with a few of rap music's elite performers to attempt to save hip hop.
Lumina,"Lumina follows four friends desperately searching for their abductee friend in a DUMB. Whether they find their friend or not in the deserts of the US to the sands of the Sahara, will change their lives forever."
Nie Xiaoqian,"Nie Xiaoqian was betrayed and died with hatred. She turned into a ghost after death and was imprisoned in Lanruo Temple. Ning Sheng went to Capital to take examination and stayed here, and accidentally saved Xiaoqian."
The Black Hole,"A comical triptych about residents in an apartment block district who long for a better life. When a black hole mysteriously appears in a lilac bush, they will have to face aliens, a giant spider, and an Austrian in breeches."
Vegan,"A vegan social media influencer goes on a quest to document the search for her biological parents. Her search leads her to a defunct, secluded farm where she encounters The Farmer, and her worst nightmares become reality."
They Whisper,"A young boy emerges from a coma after a fall down an abandoned mine shaft. His family is confronted by dark, threatening spirits and the possibility that the child in their home might no longer be their son."
Grassland,A riveting social justice thriller highlighting the perils of marijuana incarceration.
Cassino in Ischia,"The next generation of action heroes push Nic Cassino off his perch. He goes to Italy to work with struggling Italian directors on the first-ever ""Neo-Realist"" action movie in an effort to revitalize his career."
76 Days Adrift,"After a whale hits his boat, Steven Callahan survives 76 days alone on a life raft crossing the Atlantic. His bestselling story ""Adrift"" comes alive through vintage footage, photos, and recreations."
Child Star,"Examine how some of the most well-known former child stars, such as Lovato, deconstruct the highs and lows of growing up in the spotlight and how their ascension to fame, riches, and power affects their futures."
The Unrighteous,No storyline available
Mr. Bachchan,"A straight-laced income tax officer suspended due to his unwavering honesty returns to his hometown and falls in love with a woman who reciprocates his feelings, before he is reinstated and tasked with raiding the home of a powerful man."
Atlanta 10.02,"Depicts real-life events in Atlanta, exploring how perceived safety can be deceptive, as both day and night harbor dangers. The harsh realities of a city where peril lurks in unexpected places, challenging assumptions about security."
The Firefighters,"Cheol Woong, a newcomer, is assigned to Rescue Unit of the Fire Station in Seoul. Soon, he is sent to his first mission with Jin Seop, a veteran fireman working with a glorious title; the man who saved the highest number of people in the fire. While being overwhelmed by fierce fire and pouring smoke, Cheol Woong witnesses that Jin Seop forces to search the occupant contrary to the chief's withdrawal order. Just before the fire gobbles up the building, Jin Seop manages to escape with a girl in his arms, but a colleague loses the life. Cheol Woong's fear becomes an anger against Jin Seop, and blames him for his colleague's death. When their conflict is still at the peak, they're called for another fire scene which changes their fate for good."
